10027432,0
10046160,0
10066059,1
10132291,1
10172534,5
10179547,5
10180104,1
10187324,4
10199519,0
10199569,6
10205058,4
10205274,3
10216169,1
10223637,4
10276330,0
10322531,1
10323336,1
10329890,5
10336590,3
10341832,4
10347862,0
10368966,0
10369315,1
10382942,6
10387821,6
10387885,1
13538158,1
13627502,1
13668172,0
13710468,2
13721090,3
13748543,1
13808834,6
13823814,1
13837329,6
13871578,5
13892679,1
13894179,1
13896212,1
13922378,6
13942995,6
13954442,6
13975084,1
13979501,6
13985042,3
13997830,1
14003317,2
14015847,5
14020405,0
14031752,5
14048537,3
14059663,5
14060195,2
14177639,1
14180818,1
14207041,4
14239614,6
14256718,4
14282749,4
14285190,1
14293173,5
14359006,3
14399509,1
14436025,1
14512359,3
14513809,5
14518353,3
14529768,1
14563182,4
14610911,0
14613216,2
14634432,2
14644695,1
14742381,4
14765675,1
14776040,6
14868136,1
14875199,6
14927592,6
14949593,5
14953669,5
14957680,4
14958562,5
14967487,2
14969422,1
14987334,1
15016122,5
15053273,3
15074632,2
4719658,0
4719836,3
4719958,5
7477740,6
7494141,4
7506619,4
7540304,4
7680694,1
7710044,6
7842453,4
7944685,4
7945596,6
7985587,6
8050561,0
8082566,0
8179064,4
8238220,3
8275943,1
8302309,1
8355531,2
8380813,4
8398236,3
8422689,4
8422704,4
8438680,1
8454687,5
8454728,1
8473913,0
8490231,3
8529687,4
8595656,5
8610691,3
8633572,4
8639357,0
8685477,1
8842327,5
8849368,0
8901818,2
8955357,0
8973579,5
8977779,0
9011021,2
9016498,1
9036611,6
9044154,2
9065943,0
9070228,4
9071459,1
9091174,0
9127658,4
9142652,0
9186409,3
9253661,3
9335371,5
9359245,6
9374460,4
9387445,6
9406655,4
9410133,4
9460438,6
9487811,1
9494354,4
9526151,6
9532002,2
9579043,1
9641074,3
9857189,4
9935720,5
9952249,0
9967371,3
9971375,5
10004143,4
10004430,4
10027559,6
10027605,1
10034409,4
10034622,2
10080738,1
10080965,6
10087830,2
10087913,5
10097317,4
10103303,4
10110568,5
10140223,1
10152579,5
10194574,2
10199764,4
10200097,5
10230522,4
10230768,2
10238092,0
10255872,3
10256049,2
10262503,0
10262639,2
10275767,2
10295533,5
10295829,1
10302062,6
10308662,0
10315942,1
10322807,2
10330145,1
10342016,6
10347879,1
10354816,2
10355156,5
10355164,6
10368881,1
10388105,5
10994433,5
13571615,6
13644979,6
13650101,0
13707775,1
13805733,2
13848588,6
13862435,3
13875976,0
13912347,0
13915115,5
13979517,2
13982485,5
14009901,6
14019582,5
14030489,5
14053274,3
14072968,5
14076019,5
14093763,1
14110764,2
14131449,0
14172276,2
14180817,5
14194266,0
14221435,5
14260239,5
14325878,5
14387191,4
14398272,0
14412070,6
14431090,5
14439219,6
14452376,2
14538776,2
14553662,2
14592145,3
14592943,3
14606597,5
14631004,2
14631671,4
14647789,5
14660644,0
14695639,1
14755469,5
14949616,4
14962169,3
15002629,2
15016126,6
15018245,5
15022703,5
15056030,4
15098626,5
4710364,1
4712413,5
4712852,0
7505744,3
7637187,1
7671417,2
7686145,0
7822693,5
7825284,1
7831183,3
7923406,3
7925283,4
7932643,1
7933372,6
7948010,0
7950730,6
