my-last-year.txt
k=13
topic nr: 0
world 0.00529871731706
game 0.00390314143727
us 0.00362473419726
work 0.00330420895504
win 0.00314359417642
state 0.00311028252418
country 0.00304344689433
many 0.0028497288542
life 0.00260259806821
think 0.00259496264134
topic nr: 1
price 0.0294575944473
million 0.0206116049123
stock 0.0188985558327
company 0.018476702086
market 0.0180487601405
news 0.0124608445936
high 0.0113746304929
month 0.0111718269605
business 0.0110343001878
financial 0.0107695208143
topic nr: 2
police 0.00695101010578
comment 0.00677878146806
state 0.00458527197282
view 0.00369810870957
government 0.00362094531322
right 0.00358147090301
tell 0.00311270151034
family 0.0029190293157
god 0.00287280773159
work 0.00284649139068
topic nr: 3
comment 0.017312500002
view 0.00995279095241
state 0.00936987994976
minister 0.00876271565899
government 0.00847251675253
party 0.00833272859602
word 0.00704822919107
reader 0.00698618506855
police 0.0059979120717
court 0.00594660415117
topic nr: 4
league 0.00758232117202
win 0.00715462033251
goal 0.00667075334812
player 0.00648713710578
game 0.00562413828505
club 0.00534290235342
team 0.00509711907316
play 0.00507679680677
season 0.00458921538036
score 0.00392609000699
topic nr: 5
malaysia 0.00824899546225
event 0.00739975028602
race 0.00702366668037
tour 0.0055348575748
championship 0.00511701378344
world 0.00507283843859
malaysian 0.00497669596257
state 0.00414636840873
detail 0.00413129415201
series 0.00354739653946
topic nr: 6
malaysia 0.00514259938845
government 0.00429760793034
service 0.00398310413904
group 0.00397120470468
million 0.00359185461834
report 0.00345479241293
company 0.0034328602326
comment 0.00340192073475
us 0.00311139939306
billion 0.00291160584508
topic nr: 7
malaysia 0.00606673957238
country 0.00449276729761
government 0.00388559263903
world 0.00384346534694
cambodia 0.00340104508643
help 0.00339512773027
rice 0.00322389863203
product 0.00307135860766
development 0.00288651862682
many 0.00277347483275
topic nr: 8
state 0.00501899996635
country 0.00460497203254
malaysia 0.00425920301272
government 0.0042167759627
comment 0.00347973916352
minister 0.00334074502774
today 0.00298369020772
tell 0.00291274589699
report 0.00290995813496
malaysian 0.00288345354806
topic nr: 9
food 0.00570716361694
team 0.00468678506998
world 0.00455123054737
child 0.00373646211889
church 0.0037263856272
city 0.00364569726526
life 0.00360858605305
play 0.00359211698929
game 0.00324364720584
win 0.00316696188064
topic nr: 10
car 0.00936543725397
vehicle 0.00591293193458
driver 0.00533994273755
malaysia 0.00513653687492
comment 0.00486295403603
government 0.00482757196308
service 0.00482306759885
register 0.00346686860125
engine 0.00335314410541
drive 0.0033454880674
topic nr: 11
company 0.00572049270143
high 0.00526972304877
malaysia 0.00504686346778
business 0.00466797660277
million 0.00466762334553
news 0.00433038240055
next 0.00429858859642
group 0.00422673044622
government 0.00400908614738
project 0.00396810128039
topic nr: 12
government 0.00599315943004
us 0.00556794235684
country 0.00472791054617
group 0.00459101959897
malaysia 0.00451100642751
state 0.0044671933804
report 0.00416561951505
march 0.00397495937483
minister 0.00366834708946
million 0.00345841983267
