Country,Birth_rate
United States,12.5
Ireland,14.5
Australia,12.1
United Kingdom,12.1
Canada,10.3
India,19.3
New Zealand,13.3
South Africa,20.5
Sri Lanka,15.5
Singapore,8.4
Philippines,24.0
Ghana,30.8
Nigeria,37.3
Kenya,25.1
Hong Kong,9.1
Jamaica,18.0
Pakistan,22.3
Bangladesh,19.0
Malaysia,19.4
Tanzania,36.0
