Country,Sex_ratio
United States,0.97
Ireland,1.0
Australia,1.01
United Kingdom,0.99
Canada,0.98
India,1.08
New Zealand,0.99
South Africa,0.98
Sri Lanka,0.96
Singapore,0.96
Philippines,1.01
Ghana,0.97
Nigeria,1.04
Kenya,1.0
Hong Kong,0.87
Jamaica,0.98
Pakistan,1.06
Bangladesh,0.97
Malaysia,1.03
Tanzania,0.99
