Country,Net_migration_rate
United States,3.9
Ireland,4.0
Australia,5.6
United Kingdom,2.5
Canada,5.7
India,0.0
New Zealand,2.2
South Africa,-0.9
Sri Lanka,-1.3
Singapore,13.6
Philippines,-2.0
Ghana,-1.9
Nigeria,-0.2
Kenya,-0.2
Hong Kong,1.7
Jamaica,-4.5
Pakistan,-1.4
Bangladesh,-3.1
Malaysia,-0.3
Tanzania,-0.5
