Country,Life_expectancy_at_birth
United States,79.8
Ireland,80.8
Australia,82.2
United Kingdom,80.7
Canada,81.9
India,68.5
New Zealand,81.2
South Africa,63.1
Sri Lanka,76.8
Singapore,85.0
Philippines,69.2
Ghana,66.6
Nigeria,53.4
Kenya,64.0
Hong Kong,82.9
Jamaica,73.6
Pakistan,67.7
Bangladesh,73.2
Malaysia,75.0
Tanzania,62.2
