ke-last-year.txt
k=7
topic nr: 0
kenya 0.00718156105387
fruit 0.00653741291067
country 0.00561225600546
export 0.00495640033552
production 0.00471266566941
season 0.00457289745495
market 0.00420737473008
good 0.00407077247229
us 0.00358363062919
produce 0.00338132587677
topic nr: 1
rate 0.0168303423605
research 0.0143328537826
average 0.0141465611739
rating 0.0139353076442
hold 0.0137150015415
sell 0.0119938288496
market 0.0108255187285
target 0.010785719938
value 0.0105104895546
analyst 0.0100970974548
topic nr: 2
party 0.0117974363494
county 0.0101860150132
leader 0.00902256987853
president 0.00889535872788
jubilee 0.00772697165666
government 0.00748440008984
governor 0.00642452330991
election 0.00609962313583
political 0.00560967659763
cord 0.0046359870936
topic nr: 3
kenya 0.00778630368077
county 0.00678286971009
government 0.00677239208727
police 0.00503938076016
public 0.00496960081551
national 0.00478670861845
country 0.00422684782656
president 0.00368173994115
officer 0.00363194813277
school 0.00354400633837
topic nr: 4
rating 0.0269870464331
research 0.0262947215467
rate 0.0224396359151
average 0.0212030574087
analyst 0.0174115996808
fourth 0.015566109389
target 0.0152518660216
sell 0.0142245886229
value 0.0142150344108
earnings 0.0138923899515
topic nr: 5
kenya 0.00740823048901
win 0.00610487811137
team 0.00565497684031
league 0.005423019339
child 0.00512417662716
school 0.00496662050162
match 0.00483065134229
point 0.0043360285546
club 0.00427930395776
woman 0.00390247087811
topic nr: 6
kenya 0.00515819453454
man 0.00466457851033
woman 0.00449678667772
work 0.00391595229214
world 0.00352436930609
china 0.00331736840452
country 0.0031827109915
development 0.00308382671976
media 0.00303336946979
county 0.00282986828412
